Estacion_origen,Estacion_Destino,Hora_viaje,Es_Hora_Pico,Clima,Dia_semana,Retraso_Critico
Calle 26,Marly,19,1,lluvia fuerte,Fin de semana,1
Calle 26,Calle 72,15,0,lluvia fuerte,Fin de semana,1
Aguas,Calle 26,7,1,lluvia moderada,laboral,0
Heroes,Calle 72,10,0,lluvia moderada,Fin de semana,0
Portal Norte,Calle 100,16,0,despejado,laboral,0
Calle 26,Calle 72,20,0,lluvia fuerte,Fin de semana,1
Marly,Calle 72,16,0,lluvia fuerte,Fin de semana,0
Calle 100,Toberin,11,0,despejado,laboral,1
Heroes,Calle 100,18,1,lluvia moderada,Fin de semana,1
Calle 72,Calle 100,19,1,lluvia fuerte,Fin de semana,1
Calle 26,Aguas,18,1,despejado,Fin de semana,1
Heroes,Calle 72,10,0,lluvia moderada,Fin de semana,0
Calle 72,Marly,22,0,lluvia moderada,Fin de semana,0
Marly,Calle 26,18,1,lluvia fuerte,Fin de semana,1
Marly,Calle 72,12,0,despejado,Fin de semana,0
Calle 26,Marly,17,1,despejado,laboral,0
Portal Norte,Toberin,11,0,despejado,Fin de semana,0
Aguas,Calle 26,15,0,lluvia fuerte,laboral,0
Calle 100,Toberin,9,1,lluvia moderada,laboral,0
Heroes,Calle 100,13,0,lluvia moderada,laboral,1
Calle 26,Calle 72,9,1,lluvia fuerte,Fin de semana,1
Calle 100,Heroes,5,0,lluvia fuerte,laboral,0
Calle 100,Toberin,9,1,lluvia moderada,laboral,0
Calle 26,Aguas,13,0,lluvia fuerte,laboral,1
Heroes,Calle 100,11,0,despejado,Fin de semana,0
Heroes,Calle 72,9,1,lluvia fuerte,laboral,1
Calle 100,Toberin,8,1,despejado,Fin de semana,0
Calle 100,Portal Norte,6,0,lluvia moderada,laboral,0
Calle 72,Calle 100,16,0,lluvia moderada,Fin de semana,0
Toberin,Portal Norte,11,0,lluvia moderada,laboral,0
Calle 100,Portal Norte,17,1,despejado,laboral,1
Aguas,Calle 26,13,0,lluvia moderada,laboral,0
Toberin,Calle 100,19,1,lluvia fuerte,Fin de semana,1
Aguas,Calle 26,13,0,despejado,Fin de semana,0
Heroes,Calle 72,11,0,lluvia moderada,laboral,0
Portal Norte,Calle 100,21,0,lluvia fuerte,laboral,0
Heroes,Calle 72,9,1,despejado,laboral,1
Toberin,Portal Norte,16,0,lluvia moderada,Fin de semana,0
Calle 26,Aguas,15,0,lluvia fuerte,laboral,0
Aguas,Calle 26,9,1,lluvia moderada,Fin de semana,1
Calle 26,Marly,13,0,lluvia fuerte,Fin de semana,0
Calle 100,Calle 72,8,1,lluvia fuerte,Fin de semana,1
